Empresa;01;;;Noas Farma Uruguay;;;;;Formula Activa;S;;Fecha Alta;;14/10/2020;;;
Artículo;20002.02;;;GCOM ADEPROST 50;;;;;;;;Nro Formula;;242;;;
Versión;faç     ;;;Cantidad;;70.000,00;Uni     ;;Lote Mínimo;70.000,00;;Lote Máximo;;0,00;;;
Observaciones;;TERCERISTA: LABORATORIO SPEFAR S.A.;;;;;;;;;;;;;;;
Nro. Paso;Etapa;;;;Nombre;;;;;;Componente;;Nombre;;Unidad;Cantidad;
1;11;;;;FAÇON;;;;;;100060;;PYGEUM AFRICANUM;;g       ;4.025,00;
1;11;;;;FAÇON;;;;;;100016;;VIVAPUR PH 102;;g       ;7.000,00;
1;11;;;;FAÇON;;;;;;100042;;EXCIPRESS SD2;;g       ;4.795,00;
1;11;;;;FAÇON;;;;;;100053;;ÓXIDO DE MAGNESIO LIVIANO;;g       ;2.800,00;
1;11;;;;FAÇON;;;;;;100024;;VIVASOL GF;;g       ;490,00;
1;11;;;;FAÇON;;;;;;100025;;AEROSIL 200;;g       ;392,00;
1;11;;;;FAÇON;;;;;;100030;;ESTEARATO DE MAGNESIO;;g       ;98,00;
Fecha de emision : 27/11/2023 13:56  -  Usuario : vgomez  -  Base : Noas  -  Terminal : DESK;;;;;;;;;;;;;;;4; | 240;
;;;Noas Farma Uruguay;;;;;;;;;;;;;;
;;;FORMULAS PRODUCTIVAS;;;;;;;;;;;;;;
Empresa;01;;;Noas Farma Uruguay;;;;;Formula Activa;S;;Fecha Alta;;19/10/2020;;;
Artículo;20002.01;;;GPOL ADEPROST 50;;;;;;;;Nro Formula;;732;;;
Versión;std     ;;;Cantidad;;19,60;kg      ;;Lote Mínimo;19,60;;Lote Máximo;;0,00;;;
Observaciones;;;;;;;;;;;;;;;;;
Nro. Paso;Etapa;;;;Nombre;;;;;;Componente;;Nombre;;Unidad;Cantidad;
1;1;;;;MEZCLA;;;;;;100060;;PYGEUM AFRICANUM;;g       ;3.850,00;
1;1;;;;MEZCLA;;;;;;100016;;VIVAPUR PH 102;;g       ;7.000,00;
1;1;;;;MEZCLA;;;;;;100082;;EXCIPRESS SD2L;;g       ;4.970,00;
1;1;;;;MEZCLA;;;;;;100053;;ÓXIDO DE MAGNESIO LIVIANO;;g       ;2.800,00;
1;1;;;;MEZCLA;;;;;;100024;;VIVASOL GF;;g       ;490,00;
1;1;;;;MEZCLA;;;;;;100025;;AEROSIL 200;;g       ;392,00;
1;1;;;;MEZCLA;;;;;;100030;;ESTEARATO DE MAGNESIO;;g       ;98,00;
Fecha de emision : 27/11/2023 13:56  -  Usuario : vgomez  -  Base : Noas  -  Terminal : DESK;;;;;;;;;;;;;;;5; | 240;
;;;Noas Farma Uruguay;;;;;;;;;;;;;;
;;;FORMULAS PRODUCTIVAS;;;;;;;;;;;;;;
Empresa;01;;;Noas Farma Uruguay;;;;;Formula Activa;S;;Fecha Alta;;19/10/2020;;;
Artículo;20061.01;;;GPOL AGOMET;;;;;;;;Nro Formula;;736;;;
Versión;std     ;;;Cantidad;;10,00;kg      ;;Lote Mínimo;10,00;;Lote Máximo;;0,00;;;
Observaciones;;;;;;;;;;;;;;;;;
Nro. Paso;Etapa;;;;Nombre;;;;;;Componente;;Nombre;;Unidad;Cantidad;
1;1;;;;MEZCLA;;;;;;100003;;AGOMELATINA;;g       ;1.250,00;
1;1;;;;MEZCLA;;;;;;100042;;EXCIPRESS SD2;;g       ;4.715,00;
1;1;;;;MEZCLA;;;;;;100008;;STARCH 1500;;g       ;2.021,00;
1;1;;;;MEZCLA;;;;;;100017;;VIVAPUR PH 200;;g       ;599,00;
1;1;;;;MEZCLA;;;;;;100025;;AEROSIL 200;;g       ;25,00;
1;1;;;;MEZCLA;;;;;;100007;;VIVASTAR P;;g       ;400,00;
1;1;;;;MEZCLA;;;;;;100054;;PVP K30;;g       ;690,00;
1;1;;;;MEZCLA;;;;;;100030;;ESTEARATO DE MAGNESIO;;g       ;100,00;
1;1;;;;MEZCLA;;;;;;100071T;;ÁCIDO ESTEÁRICO TERCERISTA;;g       ;200,00;
Fecha de emision : 27/11/2023 13:56  -  Usuario : vgomez  -  Base : Noas  -  Terminal : DESK;;;;;;;;;;;;;;;6; | 240;
;;;Noas Farma Uruguay;;;;;;;;;;;;;;
;;;FORMULAS PRODUCTIVAS;;;;;;;;;;;;;;
Empresa;01;;;Noas Farma Uruguay;;;;;Formula Activa;S;;Fecha Alta;;19/10/2020;;;
Artículo;20003.01;;;GGRAN ALLOFED 100;;;;;;;;Nro Formula;;742;;;
Versión;std     ;;;Cantidad;;76,00;kg      ;;Lote Mínimo;76,00;;Lote Máximo;;0,00;;;
Observaciones;;;;;;;;;;;;;;;;;
Nro. Paso;Etapa;;;;Nombre;;;;;;Componente;;Nombre;;Unidad;Cantidad;
1;2;;;;GRANULACIÓN;;;;;;100005;;ALLOPURINOL;;g       ;40.000,00;
1;2;;;;GRANULACIÓN;;;;;;100041;;LACTOSA MONOHIDRATO MALLA 200;;g       ;20.000,00;
1;2;;;;GRANULACIÓN;;;;;;100006;;ALMIDÓN DE MAIZ;;g       ;4.200,00;
1;2;;;;GRANULACIÓN;;;;;;100015;;VIVAPUR PH 101;;g       ;8.000,00;
1;2;;;;GRANULACIÓN;;;;;;100054;;PVP K30;;g       ;2.000,00;
1;2;;;;GRANULACIÓN;;;;;;100004;;ALCOHOL;;L       ;20,00;
1;2;;;;GRANULACIÓN;;;;;;100024;;VIVASOL GF;;g       ;1.600,00;
1;2;;;;GRANULACIÓN;;;;;;100030;;ESTEARATO DE MAGNESIO;;g       ;400,00;
Fecha de emision : 27/11/2023 13:56  -  Usuario : vgomez  -  Base : Noas  -  Terminal : DESK;;;;;;;;;;;;;;;7; | 240;
;;;Noas Farma Uruguay;;;;;;;;;;;;;;
;;;FORMULAS PRODUCTIVAS;;;;;;;;;;;;;;
Empresa;01;;;Noas Farma Uruguay;;;;;Formula Activa;S;;Fecha Alta;;19/10/2020;;;
Artículo;20005.01;;;GGRAN ALLOFED 300;;;;;;;;Nro Formula;;748;;;
Versión;std     ;;;Cantidad;;66,00;kg      ;;Lote Mínimo;66,00;;Lote Máximo;;0,00;;;
Observaciones;;;;;;;;;;;;;;;;;
Nro. Paso;Etapa;;;;Nombre;;;;;;Componente;;Nombre;;Unidad;Cantidad;
1;2;;;;GRANULACIÓN;;;;;;100005;;ALLOPURINOL;;g       ;36.000,00;
1;2;;;;GRANULACIÓN;;;;;;100041;;LACTOSA MONOHIDRATO MALLA 200;;g       ;18.000,00;
1;2;;;;GRANULACIÓN;;;;;;100006;;ALMIDÓN DE MAIZ;;g       ;3.900,00;
1;2;;;;GRANULACIÓN;;;;;;100015;;VIVAPUR PH 101;;g       ;5.640,00;
1;2;;;;GRANULACIÓN;;;;;;100054;;PVP K30;;g       ;1.080,00;
1;2;;;;GRANULACIÓN;;;;;;100004;;ALCOHOL;;L       ;24,00;
1;2;;;;GRANULACIÓN;;;;;;100024;;VIVASOL GF;;g       ;1.020,00;
1;2;;;;GRANULACIÓN;;;;;;100025;;AEROSIL 200;;g       ;336,00;
1;2;;;;GRANULACIÓN;;;;;;100030;;ESTEARATO DE MAGNESIO;;g       ;324,00;
Fecha de emision : 27/11/2023 13:56  -  Usuario : vgomez  -  Base : Noas  -  Terminal : DESK;;;;;;;;;;;;;;;8; | 240;
;;;Noas Farma Uruguay;;;;;;;;;;;;;;
;;;FORMULAS PRODUCTIVAS;;;;;;;;;;;;;;
Empresa;01;;;Noas Farma Uruguay;;;;;Formula Activa;S;;Fecha Alta;;19/10/2020;;;
Artículo;20008.01;;;GPOL BUPRIL SR;;;;;;;;Nro Formula;;763;;;
Versión;std     ;;;Cantidad;;53,30;kg      ;;Lote Mínimo;53,30;;Lote Máximo;;0,00;;;
Observaciones;;;;;;;;;;;;;;;;;
Nro. Paso;Etapa;;;;Nombre;;;;;;Componente;;Nombre;;Unidad;Cantidad;
1;1;;;;MEZCLA;;;;;;100010;;BUPROPION CLORHIDRATO;;g       ;25.000,00;
1;1;;;;MEZCLA;;;;;;100020;;L-CISTEÍNA  MONOHIDRATO CLORHIDRATO;;g       ;1.330,00;
1;1;;;;MEZCLA;;;;;;100016;;VIVAPUR PH 102;;g       ;12.170,00;
1;1;;;;MEZCLA;;;;;;100008;;STARCH 1500;;g       ;2.500,00;
1;1;;;;MEZCLA;;;;;;100036;;METHOLOSE 15000;;g       ;11.330,00;
1;1;;;;MEZCLA;;;;;;100025;;AEROSIL 200;;g       ;330,00;
1;1;;;;MEZCLA;;;;;;100030;;ESTEARATO DE MAGNESIO;;g       ;670,00;
Fecha de emision : 27/11/2023 13:56  -  Usuario : vgomez  -  Base : Noas  -  Terminal : DESK;;;;;;;;;;;;;;;9; | 240;
;;;Noas Farma Uruguay;;;;;;;;;;;;;;
;;;FORMULAS PRODUCTIVAS;;;;;;;;;;;;;;
Empresa;01;;;Noas Farma Uruguay;;;;;Formula Activa;S;;Fecha Alta;;19/10/2020;;;
Artículo;20010.01;;;GPOL CALERNID 10;;;;;;;;Nro Formula;;769;;;
Versión;std     ;;;Cantidad;;58,20;kg      ;;Lote Mínimo;58,20;;Lote Máximo;;0,00;;;
Observaciones;;;;;;;;;;;;;;;;;
Nro. Paso;Etapa;;;;Nombre;;;;;;Componente;;Nombre;;Unidad;Cantidad;
1;1;;;;MEZCLA;;;;;;100045;;LERCANIDIPINA CLORHIDRATO;;g       ;6.000,00;
1;1;;;;MEZCLA;;;;;;100017;;VIVAPUR PH 200;;g       ;24.000,00;
1;1;;;;MEZCLA;;;;;;100080;;LACTOSA SUPERTAB® 11SD AUTOCOMPRESIBLE;;g       ;18.000,00;
1;1;;;;MEZCLA;;;;;;100007;;VIVASTAR P;;g       ;9.600,00;
1;1;;;;MEZCLA;;;;;;100030;;ESTEARATO DE MAGNESIO;;g       ;600,00;
Fecha de emision : 27/11/2023 13:56  -  Usuario : vgomez  -  Base : Noas  -  Terminal : DESK;;;;;;;;;;;;;;;10; | 240;
;;;Noas Farma Uruguay;;;;;;;;;;;;;;
;;;FORMULAS PRODUCTIVAS;;;;;;;;;;;;;;
Empresa;01;;;Noas Farma Uruguay;;;;;Formula Activa;S;;Fecha Alta;;19/10/2020;;;
Artículo;20013.01;;;GGRAN CARVEDIL 25;;;;;;;;Nro Formula;;784;;;
Versión;std     ;;;Cantidad;;30,00;kg      ;;Lote Mínimo;30,00;;Lote Máximo;;0,00;;;
Observaciones;;;;;;;;;;;;;;;;;
Nro. Paso;Etapa;;;;Nombre;;;;;;Componente;;Nombre;;Unidad;Cantidad;
1;2;;;;GRANULACIÓN;;;;;;100014;;CARVEDILOL;;g       ;7.500,00;
1;2;;;;GRANULACIÓN;;;;;;100080;;LACTOSA SUPERTAB® 11SD AUTOCOMPRESIBLE;;g       ;13.440,00;
1;2;;;;GRANULACIÓN;;;;;;100017;;VIVAPUR PH 200;;g       ;6.000,00;
1;2;;;;GRANULACIÓN;;;;;;100024;;VIVASOL GF;;g       ;1.200,00;
1;2;;;;GRANULACIÓN;;;;;;100068;;TALCO;;g       ;900,00;
1;2;;;;GRANULACIÓN;;;;;;100025;;AEROSIL 200;;g       ;360,00;
1;2;;;;GRANULACIÓN;;;;;;100030;;ESTEARATO DE MAGNESIO;;g       ;600,00;
1;2;;;;GRANULACIÓN;;;;;;100004;;ALCOHOL;;L       ;6,00;
Fecha de emision : 27/11/2023 13:56  -  Usuario : vgomez  -  Base : Noas  -  Terminal : DESK;;;;;;;;;;;;;;;11; | 240;
;;;Noas Farma Uruguay;;;;;;;;;;;;;;
;;;FORMULAS PRODUCTIVAS;;;;;;;;;;;;;;
Empresa;01;;;Noas Farma Uruguay;;;;;Formula Activa;S;;Fecha Alta;;19/10/2020;;;
Artículo;20015.01;;;GGRAN CILOZOL 100;;;;;;;;Nro Formula;;790;;;
Versión;std     ;;;Cantidad;;24,00;kg      ;;Lote Mínimo;24,00;;Lote Máximo;;0,00;;;
Observaciones;;;;;;;;;;;;;;;;;
Nro. Paso;Etapa;;;;Nombre;;;;;;Componente;;Nombre;;Unidad;Cantidad;
1;2;;;;GRANULACIÓN;;;;;;100018;;CILOSTAZOL;;g       ;10.000,00;
1;2;;;;GRANULACIÓN;;;;;;100015;;VIVAPUR PH 101;;g       ;3.850,00;
1;2;;;;GRANULACIÓN;;;;;;100054;;PVP K30;;g       ;250,00;
1;2;;;;GRANULACIÓN;;;;;;100007;;VIVASTAR P;;g       ;660,00;
1;2;;;;GRANULACIÓN;;;;;;100044;;LAURIL SULFATO DE SODIO POLVO;;g       ;80,00;
1;2;;;;GRANULACIÓN;;;;;;100006;;ALMIDÓN DE MAIZ;;g       ;2.300,00;
1;2;;;;GRANULACIÓN;;;;;;100025;;AEROSIL 200;;g       ;120,00;
1;2;;;;GRANULACIÓN;;;;;;100059;;PROSOLV SMCC 90;;g       ;6.680,00;
1;2;;;;GRANULACIÓN;;;;;;100030;;ESTEARATO DE MAGNESIO;;g       ;240,00;
1;2;;;;GRANULACIÓN;;;;;;100004;;ALCOHOL;;L       ;3,80;
Fecha de emision : 27/11/2023 13:56  -  Usuario : vgomez  -  Base : Noas  -  Terminal : DESK;;;;;;;;;;;;;;;12; | 240;
;;;Noas Farma Uruguay;;;;;;;;;;;;;;
;;;FORMULAS PRODUCTIVAS;;;;;;;;;;;;;;
Empresa;01;;;Noas Farma Uruguay;;;;;Formula Activa;S;;Fecha Alta;;19/10/2020;;;
Artículo;20016.01;;;GGRAN CIPRAM S10;;;;;;;;Nro Formula;;795;;;
Versión;std     ;;;Cantidad;;45,00;kg      ;;Lote Mínimo;45,00;;Lote Máximo;;0,00;;;
Observaciones;;;;;;;;;;;;;;;;;
Nro. Paso;Etapa;;;;Nombre;;;;;;Componente;;Nombre;;Unidad;Cantidad;
1;2;;;;GRANULACIÓN;;;;;;100027;;ESCITALOPRAM OXALATO;;g       ;3.830,00;
1;2;;;;GRANULACIÓN;;;;;;100008;;STARCH 1500;;g       ;5.820,00;
1;2;;;;GRANULACIÓN;;;;;;100017;;VIVAPUR PH 200;;g       ;26.250,00;
1;2;;;;GRANULACIÓN;;;;;;100016;;VIVAPUR PH 102;;g       ;6.370,00;
1;2;;;;GRANULACIÓN;;;;;;100044;;LAURIL SULFATO DE SODIO POLVO;;g       ;180,00;
1;2;;;;GRANULACIÓN;;;;;;100030;;ESTEARATO DE MAGNESIO;;g       ;300,00;
1;2;;;;GRANULACIÓN;;;;;;100054;;PVP K30;;g       ;900,00;
1;2;;;;GRANULACIÓN;;;;;;100024;;VIVASOL GF;;g       ;1.350,00;
1;2;;;;GRANULACIÓN;;;;;;100004;;ALCOHOL;;L       ;18,00;
Fecha de emision : 27/11/2023 13:56  -  Usuario : vgomez  -  Base : Noas  -  Terminal : DESK;;;;;;;;;;;;;;;13; | 240;
;;;Noas Farma Uruguay;;;;;;;;;;;;;;
;;;FORMULAS PRODUCTIVAS;;;;;;;;;;;;;;
Empresa;01;;;Noas Farma Uruguay;;;;;Formula Activa;S;;Fecha Alta;;19/10/2020;;;
Artículo;20018.01;;;GGRAN CIPRAM S20;;;;;;;;Nro Formula;;801;;;
Versión;std     ;;;Cantidad;;75,00;kg      ;;Lote Mínimo;75,00;;Lote Máximo;;0,00;;;
Observaciones;;250.000 COMPRIMIDOS RECUBIERTOS;;;;;;;;;;;;;;;
Nro. Paso;Etapa;;;;Nombre;;;;;;Componente;;Nombre;;Unidad;Cantidad;
1;2;;;;GRANULACIÓN;;;;;;100027;;ESCITALOPRAM OXALATO;;g       ;6.385,00;
1;2;;;;GRANULACIÓN;;;;;;100008;;STARCH 1500;;g       ;9.700,00;
1;2;;;;GRANULACIÓN;;;;;;100017;;VIVAPUR PH 200;;g       ;43.750,00;
1;2;;;;GRANULACIÓN;;;;;;100016;;VIVAPUR PH 102;;g       ;10.615,00;
1;2;;;;GRANULACIÓN;;;;;;100044;;LAURIL SULFATO DE SODIO POLVO;;g       ;300,00;
1;2;;;;GRANULACIÓN;;;;;;100030;;ESTEARATO DE MAGNESIO;;g       ;500,00;
1;2;;;;GRANULACIÓN;;;;;;100054;;PVP K30;;g       ;1.500,00;
1;2;;;;GRANULACIÓN;;;;;;100024;;VIVASOL GF;;g       ;2.250,00;
1;2;;;;GRANULACIÓN;;;;;;100004;;ALCOHOL;;L       ;46,15;
Fecha de emision : 27/11/2023 13:56  -  Usuario : vgomez  -  Base : Noas  -  Terminal : DESK;;;;;;;;;;;;;;;14; | 240;
;;;Noas Farma Uruguay;;;;;;;;;;;;;;
;;;FORMULAS PRODUCTIVAS;;;;;;;;;;;;;;
Empresa;01;;;Noas Farma Uruguay;;;;;Formula Activa;S;;Fecha Alta;;19/10/2020;;;
Artículo;20020.01;;;GPOL CLOPIGREL;;;;;;;;Nro Formula;;807;;;
Versión;std     ;;;Cantidad;;74,05;kg      ;;Lote Mínimo;74,05;;Lote Máximo;;0,00;;;
Observaciones;;;;;;;;;;;;;;;;;
Nro. Paso;Etapa;;;;Nombre;;;;;;Componente;;Nombre;;Unidad;Cantidad;
1;1;;;;MEZCLA;;;;;;100022;;CLOPIDOGREL BISULFATO;;g       ;25.000,00;
1;1;;;;MEZCLA;;;;;;100008;;STARCH 1500;;g       ;5.440,00;
1;1;;;;MEZCLA;;;;;;100080;;LACTOSA SUPERTAB® 11SD AUTOCOMPRESIBLE;;g       ;19.410,00;
1;1;;;;MEZCLA;;;;;;100015;;VIVAPUR PH 101;;g       ;21.220,00;
1;1;;;;MEZCLA;;;;;;100024;;VIVASOL GF;;g       ;2.220,00;
1;1;;;;MEZCLA;;;;;;100030;;ESTEARATO DE MAGNESIO;;g       ;380,00;
1;1;;;;MEZCLA;;;;;;100025;;AEROSIL 200;;g       ;380,00;
Fecha de emision : 27/11/2023 13:56  -  Usuario : vgomez  -  Base : Noas  -  Terminal : DESK;;;;;;;;;;;;;;;15; | 240;
;;;Noas Farma Uruguay;;;;;;;;;;;;;;
;;;FORMULAS PRODUCTIVAS;;;;;;;;;;;;;;
Empresa;01;;;Noas Farma Uruguay;;;;;Formula Activa;S;;Fecha Alta;;19/10/2020;;;
Artículo;20025.01;;;GPOL EVRY 10;;;;;;;;Nro Formula;;819;;;
Versión;std     ;;;Cantidad;;30,00;kg      ;;Lote Mínimo;30,00;;Lote Máximo;;0,00;;;
Observaciones;;;;;;;;;;;;;;;;;
Nro. Paso;Etapa;;;;Nombre;;;;;;Componente;;Nombre;;Unidad;Cantidad;
1;1;;;;MEZCLA;;;;;;100002;;ÁCIDO FÓLICO;;g       ;2.950,00;
1;1;;;;MEZCLA;;;;;;100080;;LACTOSA SUPERTAB® 11SD AUTOCOMPRESIBLE;;g       ;19.775,00;
1;1;;;;MEZCLA;;;;;;100024;;VIVASOL GF;;g       ;1.000,00;
1;1;;;;MEZCLA;;;;;;100044;;LAURIL SULFATO DE SODIO POLVO;;g       ;25,00;
1;1;;;;MEZCLA;;;;;;100030;;ESTEARATO DE MAGNESIO;;g       ;250,00;
1;1;;;;MEZCLA;;;;;;100017;;VIVAPUR PH 200;;g       ;6.000,00;
Fecha de emision : 27/11/2023 13:56  -  Usuario : vgomez  -  Base : Noas  -  Terminal : DESK;;;;;;;;;;;;;;;16; | 240;
;;;Noas Farma Uruguay;;;;;;;;;;;;;;
;;;FORMULAS PRODUCTIVAS;;;;;;;;;;;;;;
Empresa;01;;;Noas Farma Uruguay;;;;;Formula Activa;S;;Fecha Alta;;19/10/2020;;;
Artículo;20031.01;;;GPOL GALTAMIN 8;;;;;;;;Nro Formula;;842;;;
Versión;std     ;;;Cantidad;;11,04;kg      ;;Lote Mínimo;11,04;;Lote Máximo;;0,00;;;
Observaciones;;;;;;;;;;;;;;;;;
Nro. Paso;Etapa;;;;Nombre;;;;;;Componente;;Nombre;;Unidad;Cantidad;
1;1;;;;MEZCLA;;;;;;100033;;GALANTAMINA BROMHIDRATO;;g       ;984,00;
1;1;;;;MEZCLA;;;;;;100008;;STARCH 1500;;g       ;1.440,00;
1;1;;;;MEZCLA;;;;;;100080;;LACTOSA SUPERTAB® 11SD AUTOCOMPRESIBLE;;g       ;4.325,00;
1;1;;;;MEZCLA;;;;;;100016;;VIVAPUR PH 102;;g       ;2.112,00;
1;1;;;;MEZCLA;;;;;;100017;;VIVAPUR PH 200;;g       ;2.112,00;
1;1;;;;MEZCLA;;;;;;100030;;ESTEARATO DE MAGNESIO;;g       ;67,00;
Fecha de emision : 27/11/2023 13:56  -  Usuario : vgomez  -  Base : Noas  -  Terminal : DESK;;;;;;;;;;;;;;;17; | 240;
;;;Noas Farma Uruguay;;;;;;;;;;;;;;
;;;FORMULAS PRODUCTIVAS;;;;;;;;;;;;;;
Empresa;01;;;Noas Farma Uruguay;;;;;Formula Activa;S;;Fecha Alta;;19/10/2020;;;
Artículo;20036.01;;;GPOL LESTEROL 10;;;;;;;;Nro Formula;;853;;;
Versión;std     ;;;Cantidad;;45,00;kg      ;;Lote Mínimo;45,00;;Lote Máximo;;0,00;;;
Observaciones;;1ER FABRICACIÓN NOAS 04/2022;;;;;;;;;;;;;;;
Nro. Paso;Etapa;;;;Nombre;;;;;;Componente;;Nombre;;Unidad;Cantidad;
1;1;;;;MEZCLA;;;;;;100064;;ROSUVASTATINA CÁLCICA;;g       ;3.120,00;
1;1;;;;MEZCLA;;;;;;100008;;STARCH 1500;;g       ;4.500,00;
1;1;;;;MEZCLA;;;;;;100017;;VIVAPUR PH 200;;g       ;34.630,00;
1;1;;;;MEZCLA;;;;;;100024;;VIVASOL GF;;g       ;2.100,00;
1;1;;;;MEZCLA;;;;;;100025;;AEROSIL 200;;g       ;150,00;
1;1;;;;MEZCLA;;;;;;100030;;ESTEARATO DE MAGNESIO;;g       ;500,00;
Fecha de emision : 27/11/2023 13:56  -  Usuario : vgomez  -  Base : Noas  -  Terminal : DESK;;;;;;;;;;;;;;;18; | 240;
;;;Noas Farma Uruguay;;;;;;;;;;;;;;
;;;FORMULAS PRODUCTIVAS;;;;;;;;;;;;;;
Empresa;01;;;Noas Farma Uruguay;;;;;Formula Activa;S;;Fecha Alta;;19/10/2020;;;
Artículo;20038.01;;;GPOL LESTEROL 20;;;;;;;;Nro Formula;;860;;;
Versión;std     ;;;Cantidad;;45,00;kg      ;;Lote Mínimo;45,00;;Lote Máximo;;0,00;;;
Observaciones;;PLANTA NOAS FARMA URUGUAY.;;;;;;;;;;;;;;;
Nro. Paso;Etapa;;;;Nombre;;;;;;Componente;;Nombre;;Unidad;Cantidad;
1;1;;;;MEZCLA;;;;;;100064;;ROSUVASTATINA CÁLCICA;;g       ;3.120,00;
1;1;;;;MEZCLA;;;;;;100008;;STARCH 1500;;g       ;4.500,00;
1;1;;;;MEZCLA;;;;;;100017;;VIVAPUR PH 200;;g       ;34.630,00;
1;1;;;;MEZCLA;;;;;;100024;;VIVASOL GF;;g       ;2.100,00;
1;1;;;;MEZCLA;;;;;;100025;;AEROSIL 200;;g       ;150,00;
1;1;;;;MEZCLA;;;;;;100030;;ESTEARATO DE MAGNESIO;;g       ;500,00;
Fecha de emision : 27/11/2023 13:56  -  Usuario : vgomez  -  Base : Noas  -  Terminal : DESK;;;;;;;;;;;;;;;19; | 240;
;;;Noas Farma Uruguay;;;;;;;;;;;;;;
;;;FORMULAS PRODUCTIVAS;;;;;;;;;;;;;;
Empresa;01;;;Noas Farma Uruguay;;;;;Formula Activa;S;;Fecha Alta;;19/10/2020;;;
Artículo;20040.01;;;GPOL MONKAST 10;;;;;;;;Nro Formula;;874;;;
Versión;std     ;;;Cantidad;;76,00;kg      ;;Lote Mínimo;76,00;;Lote Máximo;;0,00;;;
Observaciones;;Montelukast 1,0% de exceso.;;;;;;;;;;;;;;;
Nro. Paso;Etapa;;;;Nombre;;;;;;Componente;;Nombre;;Unidad;Cantidad;
1;1;;;;MEZCLA;;;;;;100049;;MONTELUKAST SÓDICO;;g       ;3.992,00;
1;1;;;;MEZCLA;;;;;;100016;;VIVAPUR PH 102;;g       ;17.328,00;
1;1;;;;MEZCLA;;;;;;100082;;EXCIPRESS SD2L;;g       ;45.560,00;
1;1;;;;MEZCLA;;;;;;100023;;KOLLIDON VA 64;;g       ;2.280,00;
1;1;;;;MEZCLA;;;;;;100024;;VIVASOL GF;;g       ;1.520,00;
1;1;;;;MEZCLA;;;;;;100008;;STARCH 1500;;g       ;3.800,00;
1;1;;;;MEZCLA;;;;;;100025;;AEROSIL 200;;g       ;760,00;
